I (37182) j1850: E8 89 60 0E 54 | CRC OK
I (37190) j1850: 28 1B 10 02 15 F4 0B | CRC OK
I (37256) j1850: 28 1B 10 02 16 34 EA | CRC OK
I (37321) j1850: 28 1B 10 02 16 20 53 | CRC OK
I (37331) j1850: 68 FF 40 03 D8 | CRC OK
I (37387) j1850: 28 1B 10 02 16 08 3C | CRC OK
I (37435) j1850: A8 3B 10 03 00 00 | CRC OK
I (37435) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (37452) j1850: 28 1B 10 02 16 10 19 | CRC OK
I (37485) j1850: 68 FF 60 03 AD | CRC OK
I (37518) j1850: 28 1B 10 02 15 EC 2E | CRC OK
I (37583) j1850: 28 1B 10 02 15 CC A9 | CRC OK
I (37600) j1850: 68 FF 60 03 AD | CRC OK
I (37639) j1850: 29 FE 40 01 64 | CRC OK
I (37648) j1850: 28 FF 10 01 07 07 | CRC OK
I (37657) j1850: 28 1B 10 02 15 A8 49 | CRC OK
I (37690) j1850: A8 83 10 0A 00 64 23 | CRC OK
I (37714) j1850: 28 1B 10 02 15 AC 3D | CRC OK
I (37780) j1850: 28 1B 10 02 16 30 9E | CRC OK
I (37793) j1850: 29 FE 60 01 11 | CRC OK
I (37803) j1850: 28 FF 10 01 07 07 | CRC OK
I (37846) j1850: 28 1B 10 02 15 F4 0B | CRC OK
I (37911) j1850: 28 1B 10 02 15 A0 A1 | CRC OK
I (37976) j1850: 28 1B 10 02 16 38 76 | CRC OK
I (38042) j1850: 28 1B 10 02 16 6C DC | CRC OK
I (38108) j1850: 28 1B 10 02 15 E0 B2 | CRC OK
I (38155) j1850: 68 FF 10 03 86 | CRC OK
I (38163) j1850: 68 88 10 03 44 | CRC OK
I (38171) j1850: 28 1B 10 02 15 C4 41 | CRC OK
I (38175) j1850: C8 89 60 03 9F | CRC OK
I (38182) j1850: C8 88 10 0E BA | CRC OK
I (38198) j1850: E8 89 60 0E 54 | CRC OK
I (38239) j1850: 28 1B 10 02 16 44 B3 | CRC OK
I (38304) j1850: 28 1B 10 02 16 18 F1 | CRC OK
I (38369) j1850: 28 1B 10 02 15 DC 64 | CRC OK
I (38418) j1850: A8 3B 10 03 00 00 | CRC OK
I (38418) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (38435) j1850: 28 1B 10 02 15 C8 DD | CRC OK
I (38501) j1850: 28 1B 10 02 15 94 9F | CRC OK
I (38566) j1850: 28 1B 10 02 15 9C 77 | CRC OK
I (38632) j1850: 28 1B 10 02 15 D8 10 | CRC OK
I (38697) j1850: 28 1B 10 02 16 0C 48 | CRC OK
I (38763) j1850: 28 1B 10 02 15 C4 41 | CRC OK
I (38828) j1850: 28 1B 10 02 15 D8 10 | CRC OK
I (38894) j1850: 28 1B 10 02 15 9C 77 | CRC OK
I (38910) j1850: A8 3B 10 03 00 00 | CRC OK
I (38910) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (38959) j1850: 28 1B 10 02 15 7C C5 | CRC OK
I (39025) j1850: 28 1B 10 02 15 80 26 | CRC OK
I (39090) j1850: 28 1B 10 02 16 40 C7 | CRC OK
I (39156) j1850: 28 1B 10 02 16 6C DC | CRC OK
I (39163) j1850: 68 88 10 03 44 | CRC OK
I (39168) j1850: C8 89 60 03 9F | CRC OK
I (39175) j1850: C8 88 10 0E BA | CRC OK
I (39194) j1850: E8 89 60 0E 54 | CRC OK
I (39222) j1850: 28 1B 10 02 16 10 19 | CRC OK
I (39287) j1850: 28 1B 10 02 15 F0 7F | CRC OK
I (39353) j1850: 28 1B 10 02 15 F8 97 | CRC OK
I (39401) j1850: A8 3B 10 03 00 00 | CRC OK
I (39401) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (39418) j1850: 28 1B 10 02 16 54 7E | CRC OK
I (39484) j1850: 28 1B 10 02 16 18 F1 | CRC OK
I (39528) j1850: 68 FF 40 03 D8 | CRC OK
I (39549) j1850: 28 1B 10 02 15 90 EB | CRC OK
I (39613) j1850: 28 1B 10 02 15 A4 D5 | CRC OK
I (39619) j1850: 68 FF 60 03 AD | CRC OK
I (39680) j1850: 28 1B 10 02 15 E0 B2 | CRC OK
I (39689) j1850: A8 83 10 0A 00 78 72 | CRC OK
I (39746) j1850: 28 1B 10 02 16 14 6D | CRC OK
I (39811) j1850: 28 1B 10 02 15 00 00 | CRC OK
I (39877) j1850: 28 1B 10 02 15 68 7C | CRC OK
I (39893) j1850: A8 3B 10 03 00 00 | CRC OK
I (39893) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (39945) j1850: 68 FF 40 03 D8 | CRC OK
I (39953) j1850: 28 1B 10 02 16 14 6D | CRC OK
I (40008) j1850: 28 1B 10 02 15 D4 8C | CRC OK
I (40074) j1850: 28 1B 10 02 15 34 3E | CRC OK
I (40101) j1850: 68 FF 60 03 AD | CRC OK
I (40139) j1850: 28 1B 10 02 15 80 26 | CRC OK
I (40154) j1850: 68 FF 10 03 86 | CRC OK
I (40162) j1850: 68 88 10 03 44 | CRC OK
I (40169) j1850: C8 88 10 0E BA | CRC OK
I (40175) j1850: C8 89 60 03 9F | CRC OK
I (40189) j1850: E8 89 60 0E 54 | CRC OK
I (40205) j1850: 28 1B 10 02 15 CC A9 | CRC OK
I (40255) j1850: 29 FE 40 01 64 | CRC OK
I (40269) j1850: 28 FF 10 01 07 07 | CRC OK
I (40278) j1850: 28 1B 10 02 15 98 03 | CRC OK
I (40336) j1850: 28 1B 10 02 15 CC A9 | CRC OK
I (40384) j1850: A8 3B 10 03 00 00 | CRC OK
I (40384) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (40401) j1850: 28 1B 10 02 15 C8 DD | CRC OK
I (40409) j1850: 29 FE 60 01 11 | CRC OK
I (40425) j1850: 28 FF 10 01 07 07 | CRC OK
I (40467) j1850: 28 1B 10 02 15 6C 08 | CRC OK
I (40532) j1850: 28 1B 10 02 15 F0 7F | CRC OK
I (40598) j1850: 28 1B 10 02 15 78 B1 | CRC OK
I (40663) j1850: 28 1B 10 02 15 C4 41 | CRC OK
I (40729) j1850: 28 1B 10 02 15 EC 2E | CRC OK
I (40777) j1850: A8 49 10 10 58 8A | CRC OK
I (40777) j1850: temp: raw=0x58 (88) -> 48 C (raw-40, ride-1 confirmed)
I (40794) j1850: 28 1B 10 02 15 60 94 | CRC OK
I (40860) j1850: 28 1B 10 02 15 B4 18 | CRC OK
I (40876) j1850: A8 3B 10 03 00 00 | CRC OK
I (40876) j1850: load: raw=0x00 (A8 3B 10 param; not gear)
I (40925) j1850: 28 1B 10 02 15 F0 7F | CRC OK
I (40991) j1850: 28 1B 10 02 15 C4 41 | CRC OK
I (41057) j1850: 28 1B 10 02 15 98 03 | CRC OK
